max_examples,direction,model,chrF,BLEU
50,eng_to_trg,claude-sonnet,15.23,0.32
50,eng_to_trg,gemini-flash,19.96,0.41
50,eng_to_trg,gpt-4o,15.53,0.39
50,eng_to_trg,llama-70b,11.35,0.24
50,trg_to_eng,claude-sonnet,42.81,12.28
50,trg_to_eng,gemini-flash,45.72,13.1
50,trg_to_eng,gpt-4o,32.0,8.2
50,trg_to_eng,llama-70b,33.52,5.9
100,eng_to_trg,claude-sonnet,15.85,0.36
100,eng_to_trg,gemini-flash,18.78,0.4
100,eng_to_trg,gpt-4o,14.12,0.34
100,eng_to_trg,llama-70b,12.11,0.41
100,trg_to_eng,claude-sonnet,44.75,16.45
100,trg_to_eng,gemini-flash,46.9,16.06
100,trg_to_eng,gpt-4o,31.14,3.7
100,trg_to_eng,llama-70b,31.72,7.56
500,eng_to_trg,claude-sonnet,18.48,0.36
500,eng_to_trg,gemini-flash,19.14,0.37
500,eng_to_trg,gpt-4o,14.52,0.45
500,eng_to_trg,llama-70b,15.01,0.42
500,trg_to_eng,claude-sonnet,43.89,12.12
500,trg_to_eng,gemini-flash,50.89,16.49
500,trg_to_eng,gpt-4o,32.36,4.88
500,trg_to_eng,llama-70b,28.89,5.08
